Kit_Key,Kit_Main_SKU,Component_SKU,Description,Requirement,Qty_Rule,Qty_Value,Channels_Per_CMU,Alternate_SKU,Confidence,Source_Row,Notes
n3bms_cmu12,100816,100545,Peak CAN adapter for n- and c-BMS,required_removable,fixed,1,,,vendor_config,n3-BMS w 100809!14,"Necessary for software setup but customer may already own one (meeting R5) - defaults on the quote, removable"
n3bms_cmu18,100816,100816,n3-BMS MCU,main,fixed,1,,,vendor_config,n3-BMS w 101814!5,"Main product"
n3bms_cmu18,100816,101814,n3-BMS CMU18/4 Flex top mount isoSPI - 200mA balancing current (RELEASE Q3/2026),required,cmu_from_series_cells,,18,,pending_datasheet,n3-BMS w 101814!6,"Vendor qty 1 - 30; qty = ceil(series_cells/18) per vendor config example only (6 pcs CMU18 in a 96 channel system). NO official Lithium Balance page or datasheet documents CMU18 as of 2026-07-07 - do not treat as engineering-confirmed. Item_Status=Not_Released in import preview - Quote_Warning applies"
n3bms_cmu18,100816,100987,LiBAL n3-BMS MCU wirekit,optional,match_mcu_qty,,,,vendor_config,n3-BMS w 101814!7,"Optional. Same amount as MCUs"
n3bms_cmu18,100816,100985.1,LiBAL n-BMS CMU12/2 100809 wireharness kit (1700mm) shielded com cable,optional,match_cmu_qty,,,,pending_business,n3-BMS w 101814!8,"Q2: vendor config lists the CMU12 harness for the CMU18 kit although 103006 (CMU18/4 101814 Wire harness kit) exists in the RSP - probable stale vendor config, confirm before autofill"
n3bms_cmu18,100816,100684,Compact shunt (500A/50mV),optional,match_mcu_qty,,,,vendor_config,n3-BMS w 101814!9,"Optional. Same amounts as MCU - Shunt"
n3bms_cmu18,100816,000637,LEM Sensor DHAB- S/106 (20A/500A CH1/CH2 automotive),optional,match_mcu_qty,,,,vendor_config,n3-BMS w 101814!10,"Optional. Same amounts as MCU; Hall sensors with other current capabilities are available"
n3bms_cmu18,100816,200500,n-BMS Unified Creator License FULL,required,fixed,1,,,vendor_config,n3-BMS w 101814!11,"1 user"
n3bms_cmu18,100816,300500,n-BMS Unified SERVICE Tool,manual,manual,,,,vendor_config,n3-BMS w 101814!12,"Vendor qty x. Optional; needed mostly for service after series production"
n3bms_cmu18,100816,100545,Peak CAN adapter for n- and c-BMS,required_removable,fixed,1,,,vendor_config,n3-BMS w 101814!13,"Necessary for software setup but customer may already own one (meeting R5) - defaults on the quote, removable"
