Part_Number,Description,Category,Tier_Scheme,Discountable,Active,Source_Row,Source_Visibility,Duplicate_Classification,Price_T1,Price_T2,Price_T3,Price_T4,Price_T5,Price_T6,Price_T7,Price_T8,Price_T9,Review_Flag,Review_Reason,Recommended_Action
000833,LEM Sensor DHAB- S/133 (75A/750A CH1/CH2 automotive),Accessory,hardware,N,Y,39,visible,,89.65,,,,,,,,,,,
100545,Peak CAN adapter for n- and c-BMS,Accessory,hardware,N,Y,40,visible,,280.00,,,,,,,,,,,
200100,i-BMS Unified Creator License FULL,Software,license,Y,Y,44,visible,,1700.00,1275.00,1105.00,850.00,595.00,425.00,,,,,,
200200,c-BMS24 Unified Creator License FULL,Software,license,Y,Y,45,visible,,1700.00,1275.00,1105.00,850.00,595.00,425.00,,,,,,
200300,c-BMS24X Unified Creator License FULL,Software,license,Y,Y,46,visible,,1700.00,1275.00,1105.00,850.00,595.00,425.00,,,,,,
200400,c-BMS18 Unified Creator License FULL,Software,license,N,REVIEW,47,visible,,,,,,,,,,,UNPRICED,"No published price in July 2026 RSP (sheet row 47); vendor row is marked Discontinued, so this SKU is excluded from live import/quoting by vendor discontinued status. Bill/Bryan visibility or override only; approval is not required for exclusion - see docs/LIBAL_REFERENCE_PRICE_QC.md.",EXCLUDE_VENDOR_DISCONTINUED (excluded from live import/quoting; Bill/Bryan visibility/override only)
200500,n-BMS Unified Creator License FULL,Software,license,Y,Y,48,visible,,1700.00,1275.00,1105.00,850.00,595.00,425.00,,,,,,
200600,n3-BMS Unified Creator License FULL,Software,license,Y,Y,49,visible,,2415.00,1811.25,1569.75,1207.50,845.25,603.75,,,,,,
200001,Reactivation process fee of Creator License Full,Software,license,N,Y,50,visible,,700.00,525.00,455.00,350.00,245.00,175.00,,,,,,
300500,n-BMS Unified SERVICE Tool,Software,license,Y,REVIEW,54,hidden,EXCLUDE_CANDIDATE,,,,3500.00,5900.00,9800.00,,,,DUPLICATE_SKU,SKU 300500 appears 2x in Service Tool; this is the hidden legacy row priced only in upper bands. Bundle-vs-unit pricing ambiguity - confirm which row is the sellable item before import. Working assumption: hidden rows are legacy bundle rows excluded from import. This is pending Bill/Bryan approval - see duplicate_sku_classification.json and docs/LIBAL_REFERENCE_PRICE_QC.md.,EXCLUDE_CANDIDATE (working assumption: hidden legacy row; pending Bill/Bryan approval - see duplicate_sku_classification.json and docs/LIBAL_REFERENCE_PRICE_QC.md)
300300,c-BMS24X Unified SERVICE Tool,Software,license,Y,REVIEW,55,hidden,EXCLUDE_CANDIDATE,,,,3500.00,5900.00,9800.00,,,,DUPLICATE_SKU,SKU 300300 appears 2x in Service Tool; this is the hidden legacy row priced only in upper bands. Bundle-vs-unit pricing ambiguity - confirm which row is the sellable item before import. Working assumption: hidden rows are legacy bundle rows excluded from import. This is pending Bill/Bryan approval - see duplicate_sku_classification.json and docs/LIBAL_REFERENCE_PRICE_QC.md.,EXCLUDE_CANDIDATE (working assumption: hidden legacy row; pending Bill/Bryan approval - see duplicate_sku_classification.json and docs/LIBAL_REFERENCE_PRICE_QC.md)
300100,i-BMS Unified Service,Software,license,Y,Y,56,visible,,450.00,337.50,292.50,292.50,225.00,157.50,,,,CONFIRM_DISCOUNT_CLASS,confirm flat software discount applies to service tools,PENDING_CONFIRMATION (discount class)
300200,c-BMS24 Unified Service Tool,Software,license,Y,Y,57,visible,,450.00,337.50,292.50,292.50,225.00,157.50,,,,CONFIRM_DISCOUNT_CLASS,confirm flat software discount applies to service tools,PENDING_CONFIRMATION (discount class)
300300,c-BMS24X Unified Service Tool,Software,license,Y,REVIEW,58,visible,CANONICAL_CANDIDATE,450.00,337.50,292.50,292.50,225.00,157.50,,,,DUPLICATE_SKU,SKU 300300 appears 2x in Service Tool; this is the visible current row priced from band 1. Bundle-vs-unit pricing ambiguity - confirm which row is the sellable item before import. Working assumption: visible rows are the current canonical rows. This row matches other BMS families' Service Tool pricing and remains pending Bill/Bryan approval - see duplicate_sku_classification.json and docs/LIBAL_REFERENCE_PRICE_QC.md.,CANONICAL_CANDIDATE (working assumption: visible current row; pending Bill/Bryan approval - see duplicate_sku_classification.json and docs/LIBAL_REFERENCE_PRICE_QC.md)
300400,c-BMS18 Unified Service Tool,Software,license,N,REVIEW,59,visible,,,,,,,,,,,UNPRICED,"No published price in July 2026 RSP (sheet row 59); vendor row is marked Discontinued, so this SKU is excluded from live import/quoting by vendor discontinued status. Bill/Bryan visibility or override only; approval is not required for exclusion - see docs/LIBAL_REFERENCE_PRICE_QC.md.",EXCLUDE_VENDOR_DISCONTINUED (excluded from live import/quoting; Bill/Bryan visibility/override only)
300500,n-BMS Unified Service Tool,Software,license,Y,REVIEW,60,visible,CANONICAL_CANDIDATE,450.00,337.50,292.50,292.50,225.00,157.50,,,,DUPLICATE_SKU,SKU 300500 appears 2x in Service Tool; this is the visible current row priced from band 1. Bundle-vs-unit pricing ambiguity - confirm which row is the sellable item before import. Working assumption: visible rows are the current canonical rows. This row matches other BMS families' Service Tool pricing and remains pending Bill/Bryan approval - see duplicate_sku_classification.json and docs/LIBAL_REFERENCE_PRICE_QC.md.,CANONICAL_CANDIDATE (working assumption: visible current row; pending Bill/Bryan approval - see duplicate_sku_classification.json and docs/LIBAL_REFERENCE_PRICE_QC.md)
300600,n3-BMS Unified Service Tool,Software,license,Y,Y,61,visible,,625.00,468.75,406.25,403.13,303.13,215.62,,,,CONFIRM_DISCOUNT_CLASS,confirm flat software discount applies to service tools,PENDING_CONFIRMATION (discount class)
300999,Reactivationprocess fee of Creator Service Tool,Software,license,Y,Y,62,visible,,700.00,525.00,455.00,262.50,245.00,175.00,,,,CONFIRM_DISCOUNT_CLASS,confirm flat software discount applies to service tools,PENDING_CONFIRMATION (discount class)
100640.99,LiBAL s-BMS PRO (SOFTKEY) WITH OUT any support,Software,license,Y,Y,66,visible,,1700.00,1275.00,956.25,,,,,,,,,
100641.99,LiBAL s-BMS PC Service (SOFTKEY FULL) WITH OUT any support,Software,license,Y,Y,67,visible,,450.00,337.50,292.50,,,,,,,,,
100699.99,Reactivation process fee of s-BMS Pro or PC Service Tool,Software,license,Y,Y,68,visible,,135.00,101.25,87.75,,,,,,,,,
